,Period,District,Parameter,MonthlyAverage,PDKnorm
419,2016-06-01,район Царицыно,Диоксид серы,0.002,0.05
420,2016-07-01,район Богородское,Диоксид азота,0.02,0.04
421,2016-07-01,район Косино-Ухтомский,Диоксид азота,0.031,0.04
422,2016-07-01,район Косино-Ухтомский,Диоксид серы,0.002,0.05
423,2016-07-01,район Новокосино,Диоксид азота,0.032,0.04
424,2016-07-01,район Новокосино,Взвешенные частицы РМ10,0.034,0.04
425,2016-07-01,район Раменки,Диоксид азота,0.022,0.04
426,2016-07-01,район Раменки,Озон,0.0545,0.03
427,2016-07-01,район Раменки,Взвешенные частицы РМ10,0.029,0.04
428,2016-07-01,район Раменки,Диоксид серы,0.003,0.05
429,2016-07-01,район Тропарёво-Никулино,Диоксид азота,0.031,0.04
430,2016-07-01,Можайский район,Диоксид азота,0.038,0.04
431,2016-07-01,Можайский район,Озон,0.0466,0.03
432,2016-07-01,район Савёлки,Диоксид азота,0.009,0.04
433,2016-07-01,район Силино,Диоксид азота,0.015,0.04
434,2016-07-01,район Силино,Взвешенные частицы РМ10,0.022,0.04
435,2016-07-01,район Крюково,Диоксид азота,0.022,0.04
436,2016-07-01,район Крюково,Озон,0.0314,0.03
437,2016-07-01,поселение Щербинка,Диоксид азота,0.029,0.04
438,2016-07-01,район Аэропорт,Диоксид азота,0.066,0.04
439,2016-07-01,Дмитровский район,Диоксид азота,0.029,0.04
440,2016-07-01,Дмитровский район,Взвешенные частицы РМ10,0.038,0.04
441,2016-07-01,Дмитровский район,Диоксид серы,0.003,0.05
442,2016-07-01,район Коптево,Диоксид азота,0.032,0.04
443,2016-07-01,Савёловский район,Диоксид азота,0.07,0.04
444,2016-07-01,Савёловский район,Озон,0.0375,0.03
445,2016-07-01,Савёловский район,Диоксид серы,0.003,0.05
446,2016-07-01,район Сокол,Диоксид азота,0.03,0.04
447,2016-07-01,район Южное Медведково,Диоксид азота,0.042,0.04
448,2016-07-01,Останкинский район,Диоксид азота,0.01,0.04
449,2016-07-01,Останкинский район,Взвешенные частицы РМ10,0.029,0.04
450,2016-07-01,Останкинский район,Диоксид серы,0.003,0.05
451,2016-07-01,район Хорошёво-Мнёвники,Диоксид азота,0.034,0.04
452,2016-07-01,район Хорошёво-Мнёвники,Взвешенные частицы РМ10,0.032,0.04
453,2016-07-01,район Северное Тушино,Диоксид азота,0.033,0.04
454,2016-07-01,район Северное Тушино,Озон,0.0378,0.03
455,2016-07-01,поселение Роговское,Диоксид азота,0.009,0.04
456,2016-07-01,поселение Новофедоровское,Диоксид азота,0.015,0.04
457,2016-07-01,поселение Вороновское,Диоксид азота,0.008,0.04
458,2016-07-01,Мещанский район,Диоксид азота,0.045,0.04
459,2016-07-01,Мещанский район,Взвешенные частицы РМ10,0.046,0.04
460,2016-07-01,Мещанский район,Диоксид серы,0.001,0.05
461,2016-07-01,Басманный район,Диоксид азота,0.036,0.04
462,2016-07-01,Тверской район,Диоксид азота,0.033,0.04
463,2016-07-01,Пресненский район,Диоксид азота,0.043,0.04
464,2016-07-01,Пресненский район,Озон,0.0526,0.03
465,2016-07-01,Пресненский район,Взвешенные частицы РМ10,0.031,0.04
466,2016-07-01,район Хамовники,Диоксид азота,0.05,0.04
467,2016-07-01,район Хамовники,Озон,0.0308,0.03
468,2016-07-01,район Хамовники,Диоксид серы,0.002,0.05
469,2016-07-01,район Марьино,Диоксид азота,0.025,0.04
470,2016-07-01,район Марьино,Озон,0.0509,0.03
471,2016-07-01,район Марьино,Взвешенные частицы РМ10,0.032,0.04
472,2016-07-01,район Марьино,Диоксид серы,0.002,0.05
473,2016-07-01,район Люблино,Диоксид азота,0.047,0.04
474,2016-07-01,район Люблино,Диоксид серы,0.003,0.05
475,2016-07-01,Рязанский район,Диоксид азота,0.031,0.04
476,2016-07-01,Рязанский район,Взвешенные частицы РМ10,0.022,0.04
477,2016-07-01,Рязанский район,Диоксид серы,0.005,0.05
478,2016-07-01,район Печатники,Диоксид азота,0.045,0.04
479,2016-07-01,район Печатники,Взвешенные частицы РМ10,0.023,0.04
480,2016-07-01,район Печатники,Диоксид серы,0.002,0.05
481,2016-07-01,район Коньково,Диоксид азота,0.036,0.04
482,2016-07-01,Академический район,Диоксид азота,0.036,0.04
483,2016-07-01,Академический район,Взвешенные частицы РМ10,0.021,0.04
484,2016-07-01,район Южное Бутово,Диоксид азота,0.03,0.04
485,2016-07-01,район Южное Бутово,Взвешенные частицы РМ10,0.032,0.04
486,2016-07-01,Донской район,Диоксид азота,0.038,0.04
487,2016-07-01,Донской район,Взвешенные частицы РМ10,0.039,0.04
488,2016-07-01,район Бирюлёво Западное,Диоксид азота,0.029,0.04
489,2016-07-01,район Бирюлёво Западное,Диоксид серы,0.003,0.05
490,2016-07-01,Даниловский район,Диоксид азота,0.045,0.04
491,2016-07-01,Даниловский район,Озон,0.0225,0.03
492,2016-07-01,Даниловский район,Диоксид серы,0.004,0.05
493,2016-07-01,Донской район,Диоксид азота,0.046,0.04
494,2016-07-01,Донской район,Озон,0.0457,0.03
495,2016-07-01,Донской район,Диоксид серы,0.002,0.05
496,2016-07-01,район Орехово-Борисово Южное,Диоксид азота,0.034,0.04
497,2016-07-01,район Орехово-Борисово Южное,Диоксид серы,0.003,0.05
498,2016-07-01,район Царицыно,Взвешенные частицы РМ10,0.024,0.04
499,2016-07-01,район Царицыно,Диоксид серы,0.002,0.05
500,2016-08-01,район Богородское,Диоксид азота,0.018,0.04
501,2016-08-01,район Косино-Ухтомский,Диоксид азота,0.03,0.04
502,2016-08-01,район Косино-Ухтомский,Диоксид серы,0.003,0.05
503,2016-08-01,район Новокосино,Диоксид азота,0.024,0.04
504,2016-08-01,район Новокосино,Взвешенные частицы РМ10,0.027,0.04
505,2016-08-01,район Раменки,Диоксид азота,0.021,0.04
506,2016-08-01,район Раменки,Озон,0.0453,0.03
507,2016-08-01,район Раменки,Взвешенные частицы РМ10,0.021,0.04
508,2016-08-01,район Раменки,Диоксид серы,0.003,0.05
509,2016-08-01,район Тропарёво-Никулино,Диоксид азота,0.018,0.04
510,2016-08-01,Можайский район,Диоксид азота,0.034,0.04
511,2016-08-01,Можайский район,Озон,0.038,0.03
512,2016-08-01,район Савёлки,Диоксид азота,0.01,0.04
513,2016-08-01,район Силино,Диоксид азота,0.018,0.04
514,2016-08-01,район Силино,Взвешенные частицы РМ10,0.014,0.04
515,2016-08-01,район Крюково,Диоксид азота,0.022,0.04
516,2016-08-01,район Крюково,Озон,0.0273,0.03
517,2016-08-01,поселение Щербинка,Диоксид азота,0.032,0.04
518,2016-08-01,район Аэропорт,Диоксид азота,0.062,0.04
519,2016-08-01,Дмитровский район,Диоксид азота,0.027,0.04
520,2016-08-01,Дмитровский район,Взвешенные частицы РМ10,0.023,0.04
521,2016-08-01,Дмитровский район,Диоксид серы,0.002,0.05
522,2016-08-01,район Коптево,Диоксид азота,0.033,0.04
523,2016-08-01,Савёловский район,Диоксид азота,0.065,0.04
524,2016-08-01,Савёловский район,Озон,0.0338,0.03
525,2016-08-01,Савёловский район,Диоксид серы,0.002,0.05
526,2016-08-01,район Сокол,Диоксид азота,0.043,0.04
527,2016-08-01,район Южное Медведково,Диоксид азота,0.04,0.04
